,Countries,Announcement.Date,Type.of.Aid.General,Total,Converted.Value.in.EUR,Total_in_USD,Date,Week,Month,Total_by_Country,Cumulative
297,United States,3/15/2022,Military,"9,025,000,000","8,161,512,027",8651202749,3/15/2022,3/13/2022,3/1/2022,44626786038,8651202749
298,United States,4/25/2022,Military,"1,547,000,000","1,398,987,159",1482926389,4/25/2022,4/24/2022,4/1/2022,44626786038,10134129138
299,United States,4/1/2022,Military,"6,300,000,000","5,697,232,773",6039066739,4/1/2022,3/27/2022,4/1/2022,44626786038,16173195877
300,United States,9/30/2022,Military,"3,700,000,000","3,345,993,851",3546753482,9/30/2022,9/25/2022,9/1/2022,44626786038,19719949359
301,United States,12/6/2022,Military,"10,800,000,000","9,766,684,753",10352685838,12/6/2022,12/4/2022,12/1/2022,44626786038,30072635197
302,United States,9/30/2022,Military,"3,000,000,000","2,712,967,987",2875746066,9/30/2022,9/25/2022,9/1/2022,44626786038,32948381263
303,United States,12/6/2022,Military,"9,000,000,000","8,138,903,961",8627238199,12/6/2022,12/4/2022,12/1/2022,44626786038,41575619462
304,United States,12/6/2022,Military,"3,183,000,000","2,878,459,034",3051166576,12/6/2022,12/4/2022,12/1/2022,44626786038,44626786038
130,Germany,2/24/2023,Military,"1,630,000,000","1,630,000,000",1727800000,2/24/2023,2/19/2023,2/1/2023,18112538000,1727800000
131,Germany,2/24/2023,Military,"1,880,000,000","1,880,000,000",1992800000,2/24/2023,2/19/2023,2/1/2023,18112538000,3720600000
132,Germany,4/24/2023,Military,"2,320,000,000","2,320,000,000",2459200000,4/24/2023,4/23/2023,4/1/2023,18112538000,6179800000
133,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,8962300000
134,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,11744800000
135,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,14527300000
136,Germany,5/24/2023,Military,"2,625,000,000","2,625,000,000",2782500000,5/24/2023,5/21/2023,5/1/2023,18112538000,17309800000
137,Germany,2/24/2023,Military,"530,000,000","530,000,000",561800000,2/24/2023,2/19/2023,2/1/2023,18112538000,17871600000
138,Germany,2/24/2023,Military,"70,000,000","70,000,000",74200000,2/24/2023,2/19/2023,2/1/2023,18112538000,17945800000
139,Germany,12/21/2022,Military,"50,000,000","50,000,000",5.30E+07,12/21/2022,12/18/2022,12/1/2022,18112538000,17998800000
140,Germany,12/21/2022,Military,"36,000,000","36,000,000",38160000,12/21/2022,12/18/2022,12/1/2022,18112538000,18036960000
141,Germany,8/9/2022,Military,"26,300,000","26,300,000",27878000,8/9/2022,8/7/2022,8/1/2022,18112538000,18064838000
142,Germany,4/24/2024,Military,"40,000,000","40,000,000",42400000,4/24/2024,4/21/2024,4/1/2024,18112538000,18107238000
143,Germany,4/24/2024,Military,"5,000,000","5,000,000",5300000,4/24/2024,4/21/2024,4/1/2024,18112538000,18112538000
283,United Kingdom,2/1/2022,Military,"80,000,000","72,345,813",76686561.78,2/1/2022,1/30/2022,2/1/2022,6972845556,76686561.78
284,United Kingdom,3/9/2022,Military,"126,600,000","114,487,249",121356483.9,3/9/2022,3/6/2022,3/1/2022,6972845556,198043045.7
285,United Kingdom,3/23/2022,Military,"120,000,000","108,518,719",115029842.1,3/23/2022,3/20/2022,3/1/2022,6972845556,313072887.8
286,United Kingdom,3/24/2022,Military,"468,000,000","423,223,006",448616386.4,3/24/2022,3/20/2022,3/1/2022,6972845556,761689274.2
287,United Kingdom,4/8/2022,Military,"100,000,000","116,474,096",123462541.8,4/8/2022,4/3/2022,4/1/2022,6972845556,885151816
288,United Kingdom,4/9/2022,Military,"63,531,834","57,453,278",60900474.68,4/9/2022,4/3/2022,4/1/2022,6972845556,946052290.7
289,United Kingdom,5/19/2022,Military,"96,000","86,815",92023.9,5/19/2022,5/15/2022,5/1/2022,6972845556,946144314.6
290,United Kingdom,5/20/2022,Military,"1,300,000,000","1,514,163,250",1605013045,5/20/2022,5/15/2022,5/1/2022,6972845556,2551157360
291,United Kingdom,6/30/2022,Military,"1,000,000,000","1,164,740,962",1234625420,6/30/2022,6/26/2022,6/1/2022,6972845556,3785782780
292,United Kingdom,10/13/2022,Military,"252,922,852","228,723,867",242447299,10/13/2022,10/9/2022,10/1/2022,6972845556,4028230079
293,United Kingdom,10/13/2022,Military,"10,000,000","11,647,410",12346254.6,10/13/2022,10/9/2022,10/1/2022,6972845556,4040576333
294,United Kingdom,11/19/2022,Military,"50,000,000","58,237,048",61731270.88,11/19/2022,11/13/2022,11/1/2022,6972845556,4102307604
295,United Kingdom,11/23/2022,Military,"32,234,578","29,150,459",30899486.54,11/23/2022,11/20/2022,11/1/2022,6972845556,4133207091
296,United Kingdom,1/14/2023,Military,"2,300,000,000","2,678,904,212",2839638465,1/14/2023,1/8/2023,1/1/2023,6972845556,6972845556
305,European Peace Facility,2/27/2022,Military,"500,000,000","500,000,000",5.30E+08,2/27/2022,2/27/2022,2/1/2022,5.94E+09,5.30E+08
306,European Peace Facility,3/23/2022,Military,"500,000,000","500,000,000",5.30E+08,3/23/2022,3/20/2022,3/1/2022,5.94E+09,1.06E+09
307,European Peace Facility,4/8/2022,Military,"500,000,000","500,000,000",5.30E+08,4/8/2022,4/3/2022,4/1/2022,5.94E+09,1.59E+09
308,European Peace Facility,5/13/2022,Military,"500,000,000","500,000,000",5.30E+08,5/13/2022,5/8/2022,5/1/2022,5.94E+09,2.12E+09
309,European Peace Facility,7/22/2022,Military,"500,000,000","500,000,000",5.30E+08,7/22/2022,7/17/2022,7/1/2022,5.94E+09,2.65E+09
310,European Peace Facility,10/17/2022,Military,"600,000,000","600,000,000",6.36E+08,10/17/2022,10/16/2022,10/1/2022,5.94E+09,3.29E+09
311,European Peace Facility,1/23/2023,Military,"500,000,000","500,000,000",5.30E+08,1/23/2023,1/22/2023,1/1/2023,5.94E+09,3.82E+09
312,European Peace Facility,4/13/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,4/13/2023,4/9/2023,4/1/2023,5.94E+09,4.88E+09
313,European Peace Facility,5/5/2023,Military,"1,000,000,000","1,000,000,000",1.06E+09,5/5/2023,4/30/2023,5/1/2023,5.94E+09,5.94E+09
212,Norway,12/14/2022,Military,"990,000,000","87,244,655",92479334.3,12/14/2022,12/11/2022,12/1/2022,3913090222,92479334.3
213,Norway,4/27/2022,Military,"400,000,000","35,250,366",37365387.96,4/27/2022,4/24/2022,4/1/2022,3913090222,129844722.3
214,Norway,4/27/2022,Military,"3,000,000,000","264,377,743",280240407.6,4/27/2022,4/24/2022,4/1/2022,3913090222,410085129.9
215,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,1110686148
216,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,1811287167
217,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,2511888185
218,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,3212489203
219,Norway,2/16/2023,Military,"7,500,000,000","660,944,357",700601018.4,2/16/2023,2/12/2023,2/1/2023,3913090222,3913090222
91,Denmark,4/21/2022,Military,"1,000,000,000","134,213,776",142266602.6,4/21/2022,4/17/2022,4/1/2022,3711366081,142266602.6
92,Denmark,5/31/2022,Military,"1,000,000,000","134,213,776",142266602.6,5/31/2022,5/29/2022,5/1/2022,3711366081,284533205.2
93,Denmark,8/11/2022,Military,"820,000,000","110,055,296",116658613.8,8/11/2022,8/7/2022,8/1/2022,3711366081,401191819
94,Denmark,9/1/2022,Military,"974,000,000","130,724,218",138567671.1,9/1/2022,8/28/2022,9/1/2022,3711366081,539759490.1
95,Denmark,12/21/2022,Military,"42,800,000","42,800,000",45368000,12/21/2022,12/18/2022,12/1/2022,3711366081,585127490.1
96,Denmark,12/21/2022,Military,"10,000,000","10,000,000",10600000,12/21/2022,12/18/2022,12/1/2022,3711366081,595727490.1
97,Denmark,5/30/2023,Military,"7,500,000,000","1,006,603,318",1066999517,5/30/2023,5/28/2023,5/1/2023,3711366081,1662727007
98,Denmark,5/2/2023,Military,"10,400,000,000","1,395,823,267",1479572663,5/2/2023,4/30/2023,5/1/2023,3711366081,3142299670
99,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3284566273
100,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3426832875
101,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3569099478
102,Denmark,5/2/2023,Military,"1,000,000,000","134,213,776",142266602.6,5/2/2023,4/30/2023,5/1/2023,3711366081,3711366081
220,Poland,4/29/2022,Military,"1,800,000,000","1,800,000,000",1.91E+09,4/29/2022,4/24/2022,4/1/2022,3180000000,1.91E+09
221,Poland,7/25/2022,Military,"33,183,306","30,008,416",31808920.96,7/25/2022,7/24/2022,7/1/2022,3180000000,1939808921
222,Poland,12/13/2022,Military,"460,122,786","416,099,463",441065430.8,12/13/2022,12/11/2022,12/1/2022,3180000000,2380874352
223,Poland,1/27/2023,Military,"177,964,925","160,937,715",170593977.9,1/27/2023,1/22/2023,1/1/2023,3180000000,2551468330
224,Poland,3/16/2023,Military,"168,000,000","151,926,207",161041779.4,3/16/2023,3/12/2023,3/1/2023,3180000000,2712510109
225,Poland,5/24/2023,Military,"441,028,199","441,028,199",467489890.9,5/24/2023,5/21/2023,5/1/2023,3180000000,3180000000
195,Netherlands,2/18/2022,Military,"50,000,000","50,000,000",5.30E+07,2/18/2022,2/13/2022,2/1/2022,2630114114,5.30E+07
196,Netherlands,4/19/2022,Military,"101,629,378","91,905,750",97420095,4/19/2022,4/17/2022,4/1/2022,2630114114,150420095
197,Netherlands,6/28/2022,Military,"41,336,722","37,381,734",39624638.04,6/28/2022,6/26/2022,6/1/2022,2630114114,190044733
198,Netherlands,9/8/2022,Military,"344,452,246","344,452,246",365119380.8,9/8/2022,9/4/2022,9/1/2022,2630114114,555164113.8
199,Netherlands,8/28/2022,Military,"10,000,000","10,000,000",10600000,8/28/2022,8/28/2022,8/1/2022,2630114114,565764113.8
200,Netherlands,11/4/2022,Military,"120,000,000","120,000,000",127200000,11/4/2022,10/30/2022,11/1/2022,2630114114,692964113.8
201,Netherlands,11/10/2022,Military,"100,000,000","100,000,000",1.06E+08,11/10/2022,11/6/2022,11/1/2022,2630114114,798964113.8
202,Netherlands,11/14/2022,Military,"25,000,000","25,000,000",26500000,11/14/2022,11/13/2022,11/1/2022,2630114114,825464113.8
203,Netherlands,12/16/2022,Military,"202,500,000","202,500,000",214650000,12/16/2022,12/11/2022,12/1/2022,2630114114,1040114114
204,Netherlands,12/23/2022,Military,"1,500,000,000","1,500,000,000",1.59E+09,12/23/2022,12/18/2022,12/1/2022,2630114114,2630114114
31,Canada,1/26/2022,Military,"109,666,667","75,021,663",79522962.78,1/26/2022,1/23/2022,1/1/2022,1759044024,79522962.78
32,Canada,1/26/2022,Military,"109,666,667","75,021,663",79522962.78,1/26/2022,1/23/2022,1/1/2022,1759044024,159045925.6
33,Canada,1/26/2022,Military,"109,666,667","75,021,663",79522962.78,1/26/2022,1/23/2022,1/1/2022,1759044024,238568888.3
34,Canada,2/14/2022,Military,"10,000,000","6,840,881",7251333.86,2/14/2022,2/13/2022,2/1/2022,1759044024,245820222.2
35,Canada,2/27/2022,Military,"12,000,000","8,209,057",8701600.42,2/27/2022,2/27/2022,2/1/2022,1759044024,254521822.6
36,Canada,2/28/2022,Military,"12,000,000","8,209,057",8701600.42,2/28/2022,2/27/2022,2/1/2022,1759044024,263223423
37,Canada,3/1/2022,Military,"10,000,000","6,840,881",7251333.86,3/1/2022,2/27/2022,3/1/2022,1759044024,270474756.9
38,Canada,3/3/2022,Military,"7,000,000","4,788,617",5075934.02,3/3/2022,2/27/2022,3/1/2022,1759044024,275550690.9
39,Canada,3/3/2022,Military,"1,000,000","684,088",725133.28,3/3/2022,2/27/2022,3/1/2022,1759044024,276275824.2
40,Canada,3/9/2022,Military,"50,000,000","34,204,406",36256670.36,3/9/2022,3/6/2022,3/1/2022,1759044024,312532494.6
41,Canada,4/7/2022,Military,"500,000,000","342,044,055",362566698.3,4/7/2022,4/3/2022,4/1/2022,1759044024,675099192.9
42,Canada,10/12/2022,Military,"47,000,000","32,152,141",34081269.46,10/12/2022,10/9/2022,10/1/2022,1759044024,709180462.3
43,Canada,11/14/2022,Military,"500,000,000","342,044,055",362566698.3,11/14/2022,11/13/2022,11/1/2022,1759044024,1071747161
44,Canada,11/16/2022,Military,"34,000,000","23,258,996",24654535.76,11/16/2022,11/13/2022,11/1/2022,1759044024,1096401696
45,Canada,1/18/2023,Military,"92,000,000","62,936,106",66712272.36,1/18/2023,1/15/2023,1/1/2023,1759044024,1163113969
46,Canada,1/27/2023,Military,"8,552,294","7,734,033",8198074.98,1/27/2023,1/22/2023,1/1/2023,1759044024,1171312044
47,Canada,2/24/2023,Military,"32,902,273","29,754,271",31539527.26,2/24/2023,2/19/2023,2/1/2023,1759044024,1202851571
48,Canada,2/24/2023,Military,"32,000,000","21,890,820",23204269.2,2/24/2023,2/19/2023,2/1/2023,1759044024,1226055840
49,Canada,3/15/2023,Military,"47,108,669","42,601,437",45157523.22,3/15/2023,3/12/2023,3/1/2023,1759044024,1271213363
50,Canada,4/11/2023,Military,"59,000,000","40,361,199",42782870.94,4/11/2023,4/9/2023,4/1/2023,1759044024,1313996234
51,Canada,4/21/2023,Military,"34,600,000","23,669,449",25089615.94,4/21/2023,4/16/2023,4/1/2023,1759044024,1339085850
52,Canada,4/21/2023,Military,"4,500,000","3,078,396",3263099.76,4/21/2023,4/16/2023,4/1/2023,1759044024,1342348950
53,Canada,5/25/2023,Military,"19,551,655","17,681,005",18741865.3,5/25/2023,5/21/2023,5/1/2023,1759044024,1361090815
54,Canada,6/10/2023,Military,"500,000,000","342,044,055",362566698.3,6/10/2023,6/4/2023,6/1/2023,1759044024,1723657514
55,Canada,7/13/2023,Military,"48,800,000","33,383,500",35386510,7/13/2023,7/9/2023,7/1/2023,1759044024,1759044024
269,Sweden,2/27/2022,Military,"400,000,000","34,381,097",36443962.82,2/27/2022,2/27/2022,2/1/2022,1562735364,36443962.82
270,Sweden,2/27/2022,Military,"500,000,000","42,976,372",45554954.32,2/27/2022,2/27/2022,2/1/2022,1562735364,81998917.14
271,Sweden,6/2/2022,Military,"262,000,000","22,519,619",23870796.14,6/2/2022,5/29/2022,6/1/2022,1562735364,105869713.3
272,Sweden,6/2/2022,Military,"578,000,000","49,680,686",52661527.16,6/2/2022,5/29/2022,6/1/2022,1562735364,158531240.4
273,Sweden,6/2/2022,Military,"60,000,000","5,157,165",5466594.9,6/2/2022,5/29/2022,6/1/2022,1562735364,163997835.3
274,Sweden,7/12/2022,Military,"577,700,000","49,654,900",52634194,7/12/2022,7/10/2022,7/1/2022,1562735364,216632029.3
275,Sweden,8/28/2022,Military,"500,000,000","42,976,372",45554954.32,8/28/2022,8/28/2022,8/1/2022,1562735364,262186983.7
276,Sweden,11/16/2022,Military,"3,000,000,000","257,858,230",273329723.8,11/16/2022,11/13/2022,11/1/2022,1562735364,535516707.5
277,Sweden,1/19/2023,Military,"4,300,000,000","369,596,796",391772603.8,1/19/2023,1/15/2023,1/1/2023,1562735364,927289311.3
278,Sweden,5/5/2023,Military,"6,724,500,000","577,989,222",612668575.3,5/5/2023,4/30/2023,5/1/2023,1562735364,1539957887
279,Sweden,6/22/2023,Military,"140,000,000","12,033,384",12755387.04,6/22/2023,6/18/2023,6/1/2023,1562735364,1552713274
280,Sweden,6/22/2023,Military,"90,000,000","7,735,747",8199891.82,6/22/2023,6/18/2023,6/1/2023,1562735364,1560913165
281,Sweden,6/22/2023,Military,"20,000,000","1,719,055",1822198.3,6/22/2023,6/18/2023,6/1/2023,1562735364,1562735364
